crime_id,datetime,date,time,hour,crime_type,crime_category,severity,address,latitude,longitude,district,police_service_area,incident_key,coordinates
31851294,2025-09-19T23:24:00Z,2025-09-19,19:24:00,19,Other Assaults,violent,medium,1200 BLOCK LEVICK ST,40.04112699,-75.080996,02,1,202502049527,
31862082,2025-09-19T23:21:00Z,2025-09-19,19:21:00,19,Vandalism/Criminal Mischief,property,low,5100 BLOCK N FAIRHILL ST,40.02986991,-75.13270745,35,2,202535075090,
31848654,2025-09-19T23:14:00Z,2025-09-19,19:14:00,19,Thefts,property,low,2600 BLOCK WELSH RD,40.06920961,-75.02780067,08,2,202508045242,
31856927,2025-09-19T23:14:00Z,2025-09-19,19:14:00,19,Weapon Violations,other,low,2400 BLOCK S 23RD ST,39.92253189,-75.18523094,01,1,202501025801,
31842098,2025-09-19T23:13:00Z,2025-09-19,19:13:00,19,Aggravated Assault Firearm,violent,medium,1700 BLOCK MEMORIAL AVE,39.97554803,-75.20862991,16,2,202516045415,
31851286,2025-09-19T23:10:00Z,2025-09-19,19:10:00,19,Other Assaults,violent,medium,900 BLOCK PRINCETON AVE,40.05321696,-75.07879302,02,3,202502049523,
31863448,2025-09-19T23:10:00Z,2025-09-19,19:10:00,19,Weapon Violations,other,low,400 BLOCK N 52ND ST,39.96671348,-75.22520966,19,2,202519061779,
31844027,2025-09-19T23:09:00Z,2025-09-19,19:09:00,19,Theft From Vehicle,property,medium,1400 BLOCK JEFFERSON ST,39.97603861,-75.160003,22,3,202522070952,
31852217,2025-09-19T23:07:00Z,2025-09-19,19:07:00,19,Other Assaults,violent,medium,7700 BLOCK STATE RD,40.02962483,-75.02331885,15,3,202515087096,
31865948,2025-09-19T23:07:00Z,2025-09-19,19:07:00,19,Motor Vehicle Theft,property,medium,2100 BLOCK N 33rd St,39.98944371,-75.18690504,22,2,202522070971,
31863208,2025-09-19T23:06:00Z,2025-09-19,19:06:00,19,Narcotic / Drug Law Violations,drug,low,2800 BLOCK KIP ST,39.99272415,-75.12707878,24,2,202524081267,
31846411,2025-09-19T23:04:00Z,2025-09-19,19:04:00,19,Burglary Residential,property,medium,3200 BLOCK HAVERFORD AVE,39.96452763,-75.18921887,16,1,202516045413,
31858898,2025-09-19T23:01:00Z,2025-09-19,19:01:00,19,Other Assaults,violent,medium,5000 BLOCK MC KEAN AVE,40.02199673,-75.17109005,39,1,202539070823,
31863018,2025-09-19T22:54:00Z,2025-09-19,18:54:00,18,Narcotic / Drug Law Violations,drug,low,900 BLOCK N 43RD ST,39.97035937,-75.2102621,16,2,202516045409,
31844650,2025-09-19T22:52:00Z,2025-09-19,18:52:00,18,Theft From Vehicle,property,medium,500 BLOCK GENEVA AVE,40.0311211,-75.11483873,35,2,202535075064,
31859500,2025-09-19T22:51:00Z,2025-09-19,18:51:00,18,Receiving Stolen Property,property,low,3200 BLOCK W NORRIS ST,39.98723674,-75.18681374,22,2,202522070950,
31845955,2025-09-19T22:48:00Z,2025-09-19,18:48:00,18,Robbery No Firearm,violent,high,6200 BLOCK MORTON ST,40.04562062,-75.17621876,14,2,202514075203,
31858709,2025-09-19T22:47:00Z,2025-09-19,18:47:00,18,Vandalism/Criminal Mischief,property,low,1800 BLOCK LOMBARD ST,39.94533852,-75.17272224,17,1,202517027613,
31853356,2025-09-19T22:46:00Z,2025-09-19,18:46:00,18,Other Assaults,violent,medium,1100 BLOCK HOPE ST,39.96898776,-75.13677412,26,2,202526050261,
31846087,2025-09-19T22:45:00Z,2025-09-19,18:45:00,18,Robbery No Firearm,violent,high,N BROAD ST & W VENANGO ST,40.007667,-75.151604,39,2,202539070814,
31853360,2025-09-19T22:38:00Z,2025-09-19,18:38:00,18,Other Assaults,violent,medium,2600 BLOCK Waterloo St,39.99099323,-75.1324221,26,1,202526050262,
31861459,2025-09-19T22:36:00Z,2025-09-19,18:36:00,18,All Other Offenses,other,low,2000 BLOCK N WOODSTOCK ST,39.98526696,-75.16709627,22,1,202522070920,
31851284,2025-09-19T22:35:00Z,2025-09-19,18:35:00,18,Other Assaults,violent,medium,500 BLOCK WARTMAN ST,40.04648941,-75.22872517,05,2,202505015014,
31849836,2025-09-19T22:33:00Z,2025-09-19,18:33:00,18,Thefts,property,low,3200 BLOCK CHESTNUT ST,39.95350456,-75.18867837,18,3,202518051313,
31849415,2025-09-19T22:28:00Z,2025-09-19,18:28:00,18,Thefts,property,low,N BROAD ST & W ALLEGHENY AVE,40.00159394,-75.15292652,39,2,202539070807,
31845446,2025-09-19T22:26:00Z,2025-09-19,18:26:00,18,Thefts,property,low,200 BLOCK N 2ND ST,39.95513546,-75.14267623,09,5,202509109184,
31861112,2025-09-19T22:24:00Z,2025-09-19,18:24:00,18,Other Assaults,violent,medium,700 BLOCK E HUNTING PARK AVE,40.01147521,-75.1149204,25,2,202525065189,
31860181,2025-09-19T22:23:00Z,2025-09-19,18:23:00,18,Weapon Violations,other,low,1500 BLOCK N 18th St,39.97741251,-75.16471077,22,3,202522070906,
31844677,2025-09-19T22:20:00Z,2025-09-19,18:20:00,18,Theft From Vehicle,property,medium,900 BLOCK ANCHOR ST,40.03309909,-75.08819661,02,1,202502049508,
31862069,2025-09-19T22:18:00Z,2025-09-19,18:18:00,18,All Other Offenses,other,low,1800 BLOCK E SCHILLER ST,39.99949057,-75.10765139,24,1,202524081255,
31849575,2025-09-19T22:17:00Z,2025-09-19,18:17:00,18,Thefts,property,low,7400 BLOCK BUSTLETON AVE,40.04991397,-75.05808695,02,3,202502049504,
31863207,2025-09-19T22:15:00Z,2025-09-19,18:15:00,18,Narcotic / Drug Law Violations,drug,low,1800 BLOCK E HUNTING PARK AVE,40.00652323,-75.09370518,24,1,202524081250,
31855903,2025-09-19T22:14:00Z,2025-09-19,18:14:00,18,Fraud,other,low,5700 BLOCK COTTAGE ST,40.01878084,-75.06476889,15,2,202515087046,
31852962,2025-09-19T22:11:00Z,2025-09-19,18:11:00,18,Other Assaults,violent,medium,1800 BLOCK W PACIFIC ST,40.00949311,-75.15840678,39,2,202539070805,
31862065,2025-09-19T22:10:00Z,2025-09-19,18:10:00,18,All Other Offenses,other,low,3300 BLOCK KENSINGTON AVE,39.99811963,-75.11073349,24,1,202524081246,
31862067,2025-09-19T22:10:00Z,2025-09-19,18:10:00,18,All Other Offenses,other,low,3300 BLOCK KENSINGTON AVE,39.99811963,-75.11073349,24,1,202524081247,
31849083,2025-09-19T22:08:00Z,2025-09-19,18:08:00,18,Thefts,property,low,5500 BLOCK TULIP ST,40.01223821,-75.06693892,15,2,202515087060,
31858390,2025-09-19T22:04:00Z,2025-09-19,18:04:00,18,Public Drunkenness,other,low,1800 BLOCK E TIOGA ST,39.99957754,-75.1058324,24,1,202524081245,
31862063,2025-09-19T22:04:00Z,2025-09-19,18:04:00,18,All Other Offenses,other,low,1800 BLOCK E TIOGA ST,39.99957754,-75.1058324,24,1,202524081242,
31848306,2025-09-19T22:02:00Z,2025-09-19,18:02:00,18,Thefts,property,low,5900 BLOCK N LAWRENCE ST,40.04191181,-75.12881027,35,1,202535075033,
31866327,2025-09-19T21:57:00Z,2025-09-19,17:57:00,17,Motor Vehicle Theft,property,medium,1000 BLOCK E PALMER ST,39.96886207,-75.12734289,26,3,202526050256,
31845896,2025-09-19T21:55:00Z,2025-09-19,17:55:00,17,Thefts,property,low,800 BLOCK N 41ST ST,39.9694557,-75.20552244,16,2,202516045389,
31861111,2025-09-19T21:51:00Z,2025-09-19,17:51:00,17,Other Assaults,violent,medium,700 BLOCK W LEHIGH AVE,39.9933138,-75.1443254,25,4,202525065179,
31855456,2025-09-19T21:50:00Z,2025-09-19,17:50:00,17,Vandalism/Criminal Mischief,property,low,2400 BLOCK SHELMIRE AVE,40.0497705,-75.05550541,02,3,202502049497,
31861874,2025-09-19T21:49:00Z,2025-09-19,17:49:00,17,Vandalism/Criminal Mischief,property,low,2400 BLOCK MASTER ST,39.97676856,-75.17544843,22,4,202522070910,
31864949,2025-09-19T21:49:00Z,2025-09-19,17:49:00,17,Motor Vehicle Theft,property,medium,100 BLOCK N 58TH ST,39.9631818,-75.23670148,19,2,202519061732,
31849571,2025-09-19T21:48:00Z,2025-09-19,17:48:00,17,Thefts,property,low,7900 BLOCK OXFORD AVE,40.07487426,-75.08424788,02,3,202502049502,
31860419,2025-09-19T21:44:00Z,2025-09-19,17:44:00,17,Vandalism/Criminal Mischief,property,low,7600 BLOCK SHERWOOD RD,39.97638831,-75.26965925,19,1,202519061743,
31862107,2025-09-19T21:43:00Z,2025-09-19,17:43:00,17,Gambling Violations,other,low,500 BLOCK South St,39.94168814,-75.15095963,03,1,202503046681,
31860673,2025-09-19T21:43:00Z,2025-09-19,17:43:00,17,All Other Offenses,other,low,0 BLOCK N 52ND ST,39.96005498,-75.22487637,19,2,202519061727,
31860812,2025-09-19T21:43:00Z,2025-09-19,17:43:00,17,All Other Offenses,other,low,0 BLOCK N 52ND ST,39.96005498,-75.22487637,19,2,202519061728,
31857701,2025-09-19T21:38:00Z,2025-09-19,17:38:00,17,Other Assaults,violent,medium,400 BLOCK E UPSAL ST,40.05535118,-75.17623184,14,1,202514075167,
31855888,2025-09-19T21:37:00Z,2025-09-19,17:37:00,17,Fraud,other,low,800 BLOCK W BRISTOL ST,40.017441,-75.13983878,25,1,202525065170,
31859373,2025-09-19T21:36:00Z,2025-09-19,17:36:00,17,Receiving Stolen Property,property,low,700 BLOCK S ITHAN ST,39.94955362,-75.23614494,18,2,202518051299,
31853661,2025-09-19T21:34:00Z,2025-09-19,17:34:00,17,Other Assaults,violent,medium,200 BLOCK N 52ND ST,39.96405445,-75.22473449,19,2,202519061723,
31855566,2025-09-19T21:32:00Z,2025-09-19,17:32:00,17,Fraud,other,low,1100 BLOCK E SHARPNACK ST,40.06700584,-75.1671717,14,1,202514075169,
31865949,2025-09-19T21:25:00Z,2025-09-19,17:25:00,17,Motor Vehicle Theft,property,medium,100 BLOCK W DUNCANNON AVE,40.02838695,-75.12561694,35,2,202535075009,
31845351,2025-09-19T21:23:00Z,2025-09-19,17:23:00,17,Aggravated Assault No Firearm,violent,medium,400 BLOCK W OLNEY AVE,40.0361842,-75.12977143,35,2,202535074998,
31860034,2025-09-19T21:19:00Z,2025-09-19,17:19:00,17,Offenses Against Family And Children,other,low,1700 BLOCK E TULPEHOCKEN ST,40.06253748,-75.15972065,14,1,202514075178,
31848054,2025-09-19T21:18:00Z,2025-09-19,17:18:00,17,Thefts,property,low,3700 BLOCK WALNUT ST,39.95317518,-75.19736569,18,3,202518051290,
31849567,2025-09-19T21:18:00Z,2025-09-19,17:18:00,17,Thefts,property,low,6600 BLOCK OXFORD AVE,40.05015378,-75.08696799,02,2,202502049494,
31858680,2025-09-19T21:05:00Z,2025-09-19,17:05:00,17,All Other Offenses,other,low,200 BLOCK S 21ST ST,39.95048355,-75.17578157,09,3,202509109136,
31844792,2025-09-19T21:05:00Z,2025-09-19,17:05:00,17,Theft From Vehicle,property,medium,5800 BLOCK LANSDOWNE AVE,39.97602115,-75.23688887,19,2,202519061714,
31863245,2025-09-19T21:03:00Z,2025-09-19,17:03:00,17,Weapon Violations,other,low,1400 BLOCK W ERIE AVE,40.00927477,-75.15130978,39,2,202539070775,
31844051,2025-09-19T21:02:00Z,2025-09-19,17:02:00,17,Theft From Vehicle,property,medium,1200 BLOCK JACKSON ST,39.92259199,-75.16753957,03,3,202503046673,
31849079,2025-09-19T21:02:00Z,2025-09-19,17:02:00,17,Thefts,property,low,7700 BLOCK FRANKFORD AVE,40.03940218,-75.03285621,15,3,202515087018,
31859635,2025-09-19T21:02:00Z,2025-09-19,17:02:00,17,Other Assaults,violent,medium,3100 BLOCK CHATHAM ST,39.98733671,-75.10624017,24,3,202524081223,
31860669,2025-09-19T20:59:00Z,2025-09-19,16:59:00,16,All Other Offenses,other,low,0 BLOCK N 52ND ST,39.96074039,-75.22499361,19,2,202519061709,
31851278,2025-09-19T20:59:00Z,2025-09-19,16:59:00,16,Other Assaults,violent,medium,2100 BLOCK LONEY ST,40.05863998,-75.05434263,02,3,202502049482,
